subregion,estimate,yr,se,df,t.stat,p.value,lwr,upr,,Sust_limit
fc,0.600283104,2003,0.067451261,140,8.89950904,2.59E-15,0.489335653,0.711230555,,0.5
fc,0.630268089,2004,0.060343179,140,10.44472798,3.07E-19,0.531012392,0.729523785,,0.5
fc,0.452021757,2005,0.075146506,140,6.015206611,1.49E-08,0.328416755,0.57562676,,0.5
fc,0.495752588,2006,0.098874133,140,5.013976606,1.59E-06,0.333119112,0.658386064,,0.5
fc,0.729953814,2007,0.078939515,140,9.247001551,3.48E-16,0.600109867,0.859797761,,0.5
fc,0.737951161,2008,0.076124554,140,9.693996451,2.56E-17,0.612737411,0.86316491,,0.5
fc,0.617266483,2009,0.097528614,140,6.329080821,3.12E-09,0.456846188,0.777686779,,0.5
fc,0.705018477,2010,0.084351767,140,8.358075977,5.69E-14,0.566272167,0.843764787,,0.5
fc,0.883177941,2011,0.06795048,140,12.99737601,7.86E-26,0.771409347,0.994946535,,0.5
fc,0.806087953,2012,0.078810461,140,10.2281847,1.11E-18,0.67645628,0.935719626,,0.5
fc,0.732167249,2013,0.091885186,140,7.968283874,5.07E-13,0.581029567,0.883304931,,0.5
fc,0.763757902,2014,0.072674617,140,10.50928012,2.10E-19,0.644218796,0.883297009,,0.5
fc,0.724346491,2015,0.084316735,140,8.590779628,1.52E-14,0.585657804,0.863035179,,0.5
fc,0.694137207,2016,0.079989224,140,8.677884032,9.24E-15,0.562566642,0.825707771,,0.5
fe,0.218607751,2003,0.077829028,140,2.808820261,0.005683691,0.090590392,0.346625109,,0.5
fe,0.285748183,2004,0.082575731,140,3.460437846,0.000715216,0.149923193,0.421573173,,0.5
fe,0.205585056,2005,0.084443246,140,2.434594431,0.016167304,0.066688277,0.344481835,,0.5
fe,0.19760401,2006,0.082509567,140,2.394922399,0.017947134,0.06188785,0.33332017,,0.5
fe,0.243441736,2007,0.080107978,140,3.038919974,0.002833812,0.111675837,0.375207635,,0.5
fe,0.448851066,2008,0.072310696,140,6.207256849,5.75E-09,0.329910555,0.567791577,,0.5
fe,0.229039609,2009,0.067735909,140,3.381361699,0.000935149,0.117623953,0.340455265,,0.5
fe,0.465925262,2010,0.070450952,140,6.613470069,7.34E-10,0.350043758,0.581806766,,0.5
fe,0.595712633,2011,0.066824374,140,8.914601002,2.38E-15,0.485796319,0.705628947,,0.5
fe,0.562871384,2012,0.064351531,140,8.746821981,6.23E-15,0.457022535,0.668720232,,0.5
fe,0.521474548,2013,0.066935947,140,7.790650224,1.36E-12,0.411374713,0.631574382,,0.5
fe,0.463586969,2014,0.073324446,140,6.322406701,3.23E-09,0.342978988,0.58419495,,0.5
fe,0.423841785,2015,0.072681285,140,5.831511958,3.63E-08,0.304291709,0.54339186,,0.5
fe,0.302569206,2016,0.07406943,140,4.0849404,7.39E-05,0.180735836,0.424402576,,0.5
fs,0.280767147,2003,0.10255424,96,2.737742939,0.007372995,0.112080433,0.44945386,,0.5
fs,0.30013825,2004,0.085346281,96,3.516711509,0.000669073,0.15975611,0.440520391,,0.5
fs,0.291740688,2005,0.07118163,96,4.098539007,8.70E-05,0.174657326,0.408824051,,0.5
fs,0.35807829,2006,0.071241465,96,5.026262301,2.32E-06,0.240896508,0.475260072,,0.5
fs,0.359495706,2007,0.078074658,96,4.604512099,1.27E-05,0.231074322,0.487917091,,0.5
fs,0.369686416,2008,0.077924953,96,4.744133975,7.29E-06,0.241511275,0.497861557,,0.5
fs,0.444114905,2009,0.066948501,96,6.633679612,1.93E-09,0.333994421,0.554235389,,0.5
fs,0.376258995,2010,0.069133618,96,5.442489569,4.02E-07,0.262544312,0.489973677,,0.5
fs,0.495585709,2011,0.062662372,96,7.908824549,4.43E-12,0.392515278,0.598656139,,0.5
fs,0.405697027,2012,0.045291882,96,8.957389445,2.58E-14,0.33119851,0.480195544,,0.5
fs,0.385818095,2013,0.050000695,96,7.716254635,1.13E-11,0.303574271,0.46806192,,0.5
fs,0.399430708,2014,0.043109162,96,9.265564198,5.63E-15,0.328522446,0.470338969,,0.5
fs,0.418297713,2015,0.044622537,96,9.374135558,3.29E-15,0.344900171,0.491695256,,0.5
fs,0.409517098,2016,0.043668133,96,9.377939251,3.23E-15,0.337689412,0.481344785,,0.5
fw,0.234231229,2003,0.145036777,84,1.614978172,0.110065622,0,0.472795498,,0.5
fw,0.36789838,2004,0.119536334,84,3.077711739,0.002816817,0.171278607,0.564518153,,0.5
fw,0.310123127,2005,0.208256893,84,1.489137392,0.140196251,0,0.652675233,,0.5
fw,0.071673819,2006,0.326717743,84,0.21937535,0.826889868,0,0.609076684,,0.5
fw,0.902728403,2007,0.162291749,84,5.562380147,3.09E-07,0.635782231,1,,0.5
fw,0.839037474,2008,0.141190085,84,5.942609035,6.17E-08,0.606800451,1,,0.5
fw,0.777928535,2009,0.102058655,84,7.622367137,3.44E-11,0.610056987,0.945800083,,0.5
fw,0.212883585,2010,0.110109951,84,1.933372809,0.056558725,0.031768833,0.393998337,,0.5
fw,0.773736585,2011,0.121906599,84,6.346962279,1.07E-08,0.573218073,0.974255096,,0.5
fw,0.836339359,2012,0.095947176,84,8.716664681,2.21E-13,0.678520299,0.994158419,,0.5
fw,0.620043271,2013,0.101447883,84,6.111939001,2.97E-08,0.453176353,0.786910189,,0.5
fw,0.858324801,2014,0.08791266,84,9.763381046,1.73E-15,0.713721343,1,,0.5
fw,0.753910532,2015,0.091632943,84,8.227505429,2.12E-12,0.603187754,0.90463331,,0.5
fw,0.94534567,2016,0.088312101,84,10.70459948,2.29E-17,0.800085191,1,,0.5
